bucket_start_utc,bucket_end_utc,cycle_results,minted_reported,graphiti_successes_reported,grok_writer_sessions,grok_completed_sessions,grok_model_calls,grok_input_tokens,grok_output_tokens,grok_total_tokens,grok_cached_read_tokens,grok_reasoning_tokens,cursor_fallback_sessions,stored_outputs,stored_grok_outputs,stored_cursor_outputs,stored_other_outputs
2026-08-20T00:55:00Z,2026-08-20T01:00:00Z,1,5,0,2,2,2,102697,617,103314,128,180,0,2,2,0,0
2026-08-20T01:00:00Z,2026-08-20T01:05:00Z,0,0,0,1,1,1,51387,149,51536,128,54,0,0,0,0,0
2026-08-20T01:05:00Z,2026-08-20T01:10:00Z,0,0,0,1,1,1,51341,575,51916,128,71,0,0,0,0,0
2026-08-20T01:10:00Z,2026-08-20T01:15:00Z,0,0,0,1,1,3,154926,853,155779,116864,747,0,0,0,0,0
2026-08-20T01:15:00Z,2026-08-20T01:20:00Z,0,0,0,2,2,4,216476,1400,217876,51200,865,0,1,1,0,0
2026-08-20T01:20:00Z,2026-08-20T01:25:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T01:25:00Z,2026-08-20T01:30:00Z,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T01:30:00Z,2026-08-20T01:35:00Z,0,0,0,1,1,1,51359,567,51926,0,58,1,1,1,0,0
2026-08-20T01:35:00Z,2026-08-20T01:40:00Z,0,0,0,1,1,1,51355,99,51454,0,66,0,0,0,0,0
2026-08-20T01:40:00Z,2026-08-20T01:45:00Z,0,0,0,1,1,1,51351,622,51973,128,323,0,1,1,0,0
2026-08-20T01:45:00Z,2026-08-20T01:50:00Z,1,5,0,1,1,1,51386,105,51491,128,62,0,0,0,0,0
2026-08-20T01:50:00Z,2026-08-20T01:55:00Z,0,0,0,1,1,1,51340,704,52044,128,74,0,1,1,0,0
2026-08-20T01:55:00Z,2026-08-20T02:00:00Z,0,0,0,2,2,2,102695,288,102983,256,135,0,1,1,0,0
2026-08-20T02:00:00Z,2026-08-20T02:05:00Z,0,0,0,1,1,1,51326,460,51786,0,52,0,1,1,0,0
2026-08-20T02:05:00Z,2026-08-20T02:10:00Z,0,0,0,1,1,1,105025,605,105630,51328,247,0,0,0,0,0
2026-08-20T02:10:00Z,2026-08-20T02:15:00Z,0,0,0,1,1,1,51341,535,51876,5248,63,0,0,0,0,0
2026-08-20T02:15:00Z,2026-08-20T02:20:00Z,0,0,0,1,1,1,51344,125,51469,0,94,0,0,0,0,0
2026-08-20T02:20:00Z,2026-08-20T02:25:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T02:25:00Z,2026-08-20T02:30:00Z,0,0,0,2,2,2,102694,377,103071,128,297,0,1,1,0,0
2026-08-20T02:30:00Z,2026-08-20T02:35:00Z,0,0,0,1,1,3,159626,1026,160652,106624,429,0,1,1,0,0
2026-08-20T02:35:00Z,2026-08-20T02:40:00Z,1,5,0,1,1,1,51578,866,52444,128,479,0,1,1,0,0
2026-08-20T02:40:00Z,2026-08-20T02:45:00Z,0,0,0,1,1,3,161244,1167,162411,105600,1021,0,0,0,0,0
2026-08-20T02:45:00Z,2026-08-20T02:50:00Z,0,0,0,2,2,2,102644,494,103138,14336,136,0,2,2,0,0
2026-08-20T02:50:00Z,2026-08-20T02:55:00Z,0,0,0,1,1,1,51342,606,51948,0,209,0,0,0,0,0
2026-08-20T02:55:00Z,2026-08-20T03:00:00Z,0,0,0,1,1,3,160645,1125,161770,105472,613,0,0,0,0,0
2026-08-20T03:00:00Z,2026-08-20T03:05:00Z,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T03:05:00Z,2026-08-20T03:10:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T03:10:00Z,2026-08-20T03:15:00Z,0,0,0,1,1,3,156498,1590,158088,52864,954,0,0,0,0,0
2026-08-20T03:15:00Z,2026-08-20T03:20:00Z,0,0,0,1,1,1,51335,130,51465,128,74,0,1,1,0,0
2026-08-20T03:20:00Z,2026-08-20T03:25:00Z,0,0,0,2,2,2,102701,893,103594,1536,130,0,0,0,0,0
2026-08-20T03:25:00Z,2026-08-20T03:30:00Z,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2026-08-20T03:30:00Z,2026-08-20T03:35:00Z,1,5,0,2,2,2,102682,1561,104243,14336,333,1,1,1,0,0
2026-08-20T03:35:00Z,2026-08-20T03:40:00Z,0,0,0,3,3,3,154106,903,155009,256,205,2,3,0,3,0
2026-08-20T03:40:00Z,2026-08-20T03:45:00Z,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2026-08-20T03:45:00Z,2026-08-20T03:50:00Z,1,5,0,2,2,2,102666,265,102931,128,189,1,1,0,1,0
2026-08-20T03:50:00Z,2026-08-20T03:55:00Z,0,0,0,3,3,3,154583,1166,155749,256,204,0,4,4,0,0
2026-08-20T03:55:00Z,2026-08-20T04:00:00Z,1,5,0,4,4,4,205739,1156,206895,14336,291,1,3,2,1,0
2026-08-20T04:00:00Z,2026-08-20T04:05:00Z,0,0,0,1,1,1,51339,106,51445,128,74,1,2,1,1,0
2026-08-20T04:05:00Z,2026-08-20T04:10:00Z,1,5,0,4,4,4,205697,1505,207202,19584,508,1,3,2,1,0
2026-08-20T04:10:00Z,2026-08-20T04:15:00Z,0,0,0,1,1,1,51364,548,51912,5248,110,2,2,0,2,0
2026-08-20T04:15:00Z,2026-08-20T04:20:00Z,1,5,0,3,3,3,154170,930,155100,28672,203,1,2,1,1,0
2026-08-20T04:20:00Z,2026-08-20T04:25:00Z,0,0,0,2,2,2,102697,198,102895,15744,114,2,2,0,2,0
2026-08-20T04:25:00Z,2026-08-20T04:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2026-08-20T04:30:00Z,2026-08-20T04:35:00Z,1,5,0,2,2,2,102407,959,103366,14464,206,0,1,1,0,0
2026-08-20T04:35:00Z,2026-08-20T04:40:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T04:40:00Z,2026-08-20T04:45:00Z,0,0,0,3,3,3,153700,1182,154882,19456,413,1,2,2,0,0
2026-08-20T04:45:00Z,2026-08-20T04:50:00Z,0,0,0,1,1,1,51345,482,51827,128,59,0,1,0,1,0
2026-08-20T04:50:00Z,2026-08-20T04:55:00Z,0,0,0,1,1,1,51361,455,51816,128,172,0,1,1,0,0
2026-08-20T04:55:00Z,2026-08-20T05:00:00Z,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T05:00:00Z,2026-08-20T05:05:00Z,0,0,0,1,1,1,51357,436,51793,5248,70,0,0,0,0,0
2026-08-20T05:05:00Z,2026-08-20T05:10:00Z,0,0,0,1,1,1,51346,430,51776,1408,59,0,0,0,0,0
2026-08-20T05:10:00Z,2026-08-20T05:15:00Z,0,0,0,1,1,1,51336,104,51440,128,61,0,0,0,0,0
2026-08-20T05:15:00Z,2026-08-20T05:20:00Z,0,0,0,2,2,2,102797,758,103555,14208,379,0,1,1,0,0
2026-08-20T05:20:00Z,2026-08-20T05:25:00Z,0,0,0,1,1,1,51340,132,51472,128,78,0,1,1,0,0
2026-08-20T05:25:00Z,2026-08-20T05:30:00Z,0,0,0,2,2,2,102658,383,103041,384,122,0,1,1,0,0
2026-08-20T05:30:00Z,2026-08-20T05:35:00Z,0,0,0,1,1,1,51462,409,51871,128,167,0,1,1,0,0
2026-08-20T05:35:00Z,2026-08-20T05:40:00Z,0,0,0,2,2,2,102961,526,103487,0,214,0,0,0,0,0
2026-08-20T05:40:00Z,2026-08-20T05:45:00Z,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2026-08-20T05:45:00Z,2026-08-20T05:50:00Z,1,5,0,2,2,2,102705,4545,107250,2560,179,0,1,1,0,0
2026-08-20T05:50:00Z,2026-08-20T05:55:00Z,0,0,0,3,3,3,154068,784,154852,256,447,1,3,2,1,0
2026-08-20T05:55:00Z,2026-08-20T06:00:00Z,0,0,0,1,1,1,51347,164,51511,14208,138,1,1,0,1,0
2026-08-20T06:00:00Z,2026-08-20T06:05:00Z,1,5,0,3,3,3,154047,397,154444,14336,231,2,2,1,1,0
2026-08-20T06:05:00Z,2026-08-20T06:10:00Z,0,0,0,2,2,2,102687,529,103216,1536,123,0,3,2,1,0
2026-08-20T06:10:00Z,2026-08-20T06:15:00Z,1,5,0,3,3,3,154626,1124,155750,14592,268,1,2,1,1,0
